throttle,left,right,speed,input_steering,input_throttle
0.53867,0.112966,0.100562,1.44695,0.0,1.0
0.404545,0.117902,0.096228,1.536974,0.0,1.0
0.297086,0.116147,0.097092,1.582376,1.0,0.0
0.209955,0.127642,0.098184,1.484786,1.0,0.0
0.242752,0.093533,0.119398,1.316157,1.0,0.0
0.271585,0.055079,0.156474,1.177684,1.0,1.0
0.265092,0.020969,0.177422,1.237196,1.0,1.0
0.172665,0.463983,0.133916,1.263488,1.0,0.0
0.161172,0.527724,0.10363,1.116174,1.0,0.0
0.213311,0.114854,0.108367,0.973782,1.0,1.0
0.202229,0.115146,0.112174,1.086374,1.0,1.0
0.46813,0.086543,0.125436,1.148042,0.0,1.0
0.292628,0.088064,0.124002,1.229877,-1.0,0.0
0.222934,0.099242,0.117409,1.158775,-1.0,1.0
0.280651,0.140621,0.073395,1.104419,-1.0,1.0
0.276587,0.167515,0.038132,1.085439,1.0,1.0
0.183869,0.127651,0.123787,1.142022,-1.0,0.0
0.243633,0.132477,0.075666,1.000215,-1.0,1.0
0.270821,0.148222,0.055972,1.099862,-1.0,0.0
0.286228,0.168764,0.038568,1.174273,0.0,1.0
0.211265,0.148994,0.047857,1.3003,-1.0,1.0
0.148819,0.100295,1.0,1.326023,-1.0,0.0
0.152947,0.070513,0.22012,1.155028,-1.0,0.0
0.765521,0.094768,0.118829,1.005311,0.0,1.0
0.530182,0.086085,0.130354,1.1181,0.0,1.0
0.390754,0.067833,0.15465,1.247512,0.0,1.0
0.333622,0.05615,0.161576,1.376494,0.0,0.0
0.27559,0.061014,0.150054,1.300751,-1.0,1.0
0.332241,0.153642,0.084138,1.219428,0.0,0.0
0.254358,0.15765,0.048427,1.248614,-1.0,1.0
0.193828,0.143848,0.059476,1.290012,-1.0,1.0
0.440914,0.115956,0.120162,1.310769,0.0,0.0
0.305006,0.076082,0.155615,1.277822,0.0,0.0
0.207929,0.066924,0.140061,1.28372,1.0,1.0
0.203608,0.075948,0.135675,1.149039,1.0,1.0
0.216473,0.058007,0.145406,1.134068,1.0,1.0
0.225464,0.033933,0.16403,1.016418,1.0,1.0
0.17736,1.0,0.146847,1.113549,1.0,1.0
0.154737,0.245853,0.103261,1.186945,1.0,1.0
0.421044,0.144629,0.080517,1.253706,0.0,1.0
0.489737,0.15944,0.062889,1.387456,0.0,1.0
0.46085,0.15986,0.056752,1.527276,0.0,1.0
0.370972,0.156849,0.055676,1.663348,0.0,0.0
0.319633,0.129285,0.080404,1.658745,1.0,1.0
0.243701,0.120462,0.097572,1.671775,1.0,1.0
0.257289,0.092181,0.120727,1.569088,0.0,0.0
